BLOOM,CRF
serviço de adaptação de lentes de contato esclera para pacientes em vulnerabilidade social,
TECIDOS,AQUISIÇÃO DE TECIDOS PARA ATENDER A OFICINA DE CORTE E COSTURA DO CRAS
Construção de Calçadas e Meio Fio,Construção de Calçadas e Meio Fio em Vias Públicas de Nova Ponte-MG
CONTRATAÇÃO DE EMPRESA P/ PESQUISA DE OPINIÃO E TRATAMENTO DE DADOS,
Internet Via Rádio Ou Fibra Óptica,
Contratação de empresa para ministrar cursos de capacitação para os 70 professores da Rede Municipal de Educação da Prefeitura Municipal de Prados,ministrar cursos de capacitação para os 70 professores da Rede Municipal de Educação da Prefeitura Municipal de Prados
Equipamentos Audiovisuais para TV Câmara,Equipamentos Audiovisuais para TV Câmara – COMUNICADO
serviço de remoção de pacientes em ambulâncias UTI- suporte avançado tipo “ D ”,remoção de pacientes em ambulâncias
serviço mecânico em veículos pesados,Prestação de serviço mecânico em veículos pesados
serviços de seguranças desarmados para as Festividades Carnavalescas de 2020,
arrecadação da contribuição para custeio de serviço de Iluminação Pública do Município de Prata – MG,Contratação de empresa para arrecadação da contribuição para custeio de serviço de Iluminação Pública do Município de Prata – MG
pneus para manutenção dos caminhões que atendem aos serviços de coleta de lixo,pneus
um jogo de borrachas para as portas do veículo uno vivace placa pvq-9741,
hortifrutigranjeiro,Aquisição de hortifrutigranjeiro
construção de mercado municipal referente ao Convênio nº 5031000532/2018 CODEMGE com interveniência SETOP,
aterro sanitário e manejo de resíduos sólidos,aterro sanitário
equipamento de sistema fotovoltaico,
arco cirúrgico móvel com intensificador de imagens,arco cirúrgico móvel com intensificador de imagens para aplicação em procedimentos ortopédicos e cirurgia geral
AQUISIÇÃO DE INSUMOS P/ PAVIMENTAÇÃO ASFALTICA – TAPA BURACO,PAVIMENTAÇÃO ASFALTICA – TAPA BURACO
50 CONJUNTOS ESCOLARES PARA ESCOLA MUNICIPAL HONÓRIO SILVEIRA LACERDA,CONJUNTOS ESCOLARES PARA ESCOLA MUNICIPAL HONÓRIO SILVEIRA LACERDA
instalação de ar condicionado,contratação de empresa instalação de ar condicionado
LOCAÇÃO DE VEÍCULOS AUTOMOTORES,LOCAÇÃO DE VEÍCULOS AUTOMOTORES PARA TRANSPORTE DE PESSOAS E PEQUENAS CARGAS
Kit ’ s De Uniforme,
fornecimento futuro e parcelado de urnas adulto e infantil e serviços funerários,urnas adulto e infantil e serviços funerários
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE PERFURAÇÃO DE POÇO ARTESIANO,
exame especializado,Registro de Preço para exame especializado
serviço de hospedagem para membros do SESC-MG quando em realização do evento Rua de Lazer no dia 31 de agosto de 2014,hospedagem para membros do SESC-MG quando em realização do evento Rua de Lazer no dia 31 de agosto de 2014
materiais necessários para atende as necessidade das escolas que oferecm aulas de música para os alunos da Rede Municipal de Ensino,aulas de música para os alunos da Rede Municipal de Ensino
medicamentos éticos,medicamentos éticos e genéricos
Medicamentos éticos,
CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE PROVEDOR DE INTERNET PARA ATENDER ÀS SECRETARIAS INTEGRANTES DA ADMINISTRAÇÃO DO MUNICÍPIO,PROVEDOR DE INTERNET
prestação de serviços de seguro de veículo,seguro de veículo
MATERIAL AMBULATORIAL,
SERVIÇO COM A FINALIDADE DE PONTUAÇÃO E ARRECADAÇÃO NO PROPOSITO DA LEI ESTADUAL 18.030/2009 DISTRIBUIÇÃO DA PARCELA DA RECEITA DO PRODUTO,
Aquisição de Combustível para abastecimento dos veículos do SAAE,Combustível
Placas de Alumínio Fundido tamanho 80x60 cm,
LAVRINHA TRANSPORTES LTDA ME,
prestação de serviços de monitoramento eletrônico dos alarmes e da central de cerca eletrificada objeto do item 28 do Anexo Único do referido Contrato,monitoramento eletrônico dos alarmes e da central de cerca eletrificada objeto do item 28 do Anexo Único do referido Contrato
ÁGUA MINERAL E GÁS DE COZINHA GLP,ÁGUA MINERAL E GÁS DE COZINHA GLP PARA USO DAS SECRETARIAS MUNICIPAIS
Contratação de empresa para prestação de serviços relativos à elaboração de documentos para obtenção do ICMS do Patrimônio Cultural para o Município de Lamim,prestação de serviços relativos à elaboração de documentos para obtenção do ICMS do Patrimônio Cultural
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇO DE SEGURANÇA PARA REALIZAÇÃO DE EVENTO EM COMEMORAÇÃO AO 102º ANIVERSÁRIO DO MUNICÍPIO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇO DE SEGURANÇA
show da Dupla Edilson e Elâine,
obra de extensão e adequação de rede elétrica,execução de obra de extensão e adequação de rede elétrica
de cobertura do Poliesportivo municipal,
L Prestação de serviços de fotógrafo nas festividades da exposição agropecuária e concurso leiteiro no município de Senador Cortes,Prestação de serviços de fotógrafo nas festividades da exposição agropecuária
Execução de obra de Cobertura asfáltica em ruas de paralelepípedo,Cobertura asfáltica em ruas de paralelepípedo
caminhão e retroescavadeira,caminhão e retroescavadeira para o desenvolvimento agrícola local e escoamento da produção agrícola municipal
Trator equipado com Trincha,
DOTAÇÃO ORÇAMENTÁRIA VALOR,
fornecimento parcelado de alimentação e hospedagem,alimentação e hospedagem
BIODIESEL,AQUISIÇÃO DE BIODIESEL PARA ABASTECIMENTO DOS VEÍCULOS DA FROTA MUNICIPAL
prestação de serviços médicos especializados,serviços médicos especializados
Obra de reforma do campo de futebol Society,reforma do campo de futebol Society
serviços profissionais para assistência jurídica e prestação de serviços advocatícios do gabinete do prefeito,Contratação de serviços profissionais para assistência jurídica e prestação de serviços advocatícios do gabinete do prefeito
Termo Fomento entre o Município de Abadia dos Dourados-MG e a Associação para o Desenvolvimento Sócio Cultural de Abadia dos Dourados,
instalação de divisórias para mudança da Controladoria Interna Municipal,divisórias para mudança da Controladoria Interna Municipal
VEÍCULO,
confecção de camisetas,prestação de serviços de confecção de camisetas incluso serviços de plotagem
SERVICO DE ORNAMENTACAO,
Cesta Básicas para Distribuição a pessoas carentes,Cesta Básicas
Rodeio,Rodeio nas festividades da Comunidade de Pregos
Contração de Treinador de futebol,Treinador de futebol
Execução de obra de construção – quadra esportiva escolar coberta – loteamento novo milênio,construção – quadra esportiva escolar coberta – loteamento novo milênio
Registro de Preços para eventual contratação de empresa para fornecimento de medicamentos com desconto sobre a tabela CMED,medicamentos com desconto sobre a tabela CMED
Holter 24 horas,
contratação de empresa especializada para prestação de serviços de reparo do sistema de compressão do mamógrafo do município de Itanhandu,
aquisição de óleo diesel BS-10 para abastecimento de veículos da frota municipal,óleo diesel BS-10 para abastecimento de veículos da frota municipal
contratação de quilômetro rodado de veículos especializados de transporte de passageiro a ser utilizado na prestação de serviços de transporte escolar com monitor,quilômetro rodado de veículos especializados de transporte de passageiro a ser utilizado na prestação de serviços de transporte escolar com monitor
Contratação de empresa para execução de calçamento em poliédrico em trechos das Ruas,calçamento em poliédrico em trechos das Ruas
Contratação para execução de serviços de instalação de 22 pontos de luminária pública de 100 wats,
uti móvel,
reparo em sistema hidráulico e de injeção do veículo caminhão F 12000 placa HMN 4774,
ARQUIVO DESLIZANTE MODULAR,
Concurso Público,Concurso Público para cargos de provimento efetivo no Município de Diamantina
Melhoramento de vias públicas com a execução de obra de encascalhamento em estradas vicinais,
recarga de oxigênio medicinal,
AQUISIÇÃO DE LEITES ESPECIAIS E SUPLEMENTOS ALIMENTARES PARA CONSUMO NO HOSPITAL MUNICIPAL E SECRETARIA DE SAUDE DO MUNICÍPIO DE CAMPO DO MEIO,AQUISIÇÃO DE LEITES ESPECIAIS E SUPLEMENTOS ALIMENTARES
Peças para o Caminhão ¾ VW 8120 Placa KZV 5888 desta Municipalidade,
prestação de serviço de transporte municipal de passageiros e ferramentas,registro de preços para eventual contratação de prestação de serviço de transporte municipal de passageiros e ferramentas
TENDAS PARA ATENDER ÁS NECESSIDADES DA SECRETARIA DE SAÚDE,CONTRATAÇÃO DE EMPRESA PARA O FORNECIMENTO DE TENDAS PARA ATENDER ÁS NECESSIDADES DA SECRETARIA DE SAÚDE
arco cirúrgico móvel com intensificador de imagens para aplicação em procedimentos Ortopédicos e cirurgia geral,aquisição de arco cirúrgico móvel com intensificador de imagens para aplicação em procedimentos Ortopédicos e cirurgia geral
execução de obra de recapeamento asfáltico em CBUQ e construção de meio fio e sarjeta em ruas do Bairro João Bedeschi,recapeamento asfáltico em CBUQ e construção de meio fio e sarjeta em ruas do Bairro João Bedeschi
self service com churrasco,fornecimento de self service com churrasco
consulta medica de PSIQUIATRIA,Credenciamento de pessoa jurídica especializada na realização de consulta medica de PSIQUIATRIA
aluguel de imóvel para acomodação da Secretaria Municipal de Desenvolvimento Urbano,aluguel de imóvel
a contratação de empresa para realização de obras de um sistema de esgotamento sanitário,obras de um sistema de esgotamento sanitário
prestação de serviço de buffet e serviço de decoração,buffet e serviço de decoração
Software Aplicativo para gerenciamento da Secretaria Municipal de Saúde de Pedra Bonita /MG e suas unidades,locação de Software Aplicativo
CONSTRUÇÃO DE MÓDULOS SANITÁRIOS DOMICILIARES,MÓDULOS SANITÁRIOS DOMICILIARES
seguro dos veículos destinados aos serviços do setor de saúde do Município,seguro dos veículos
Show Artístico Musical,Serviços Profissionais – Show Artístico Musical Contratado
KIT MATERNIDADE,AQUISIÇAO DE KIT MATERNIDADE
"285 – gasolina comum sofrera um acréscimo de 4,83 %",
calibração de pipetas do Laboratório Municipal,
execução de obras de pavimentação em bloquetes em ruas do Bairro da Palha,pavimentação em bloquetes em ruas do Bairro da Palha
pavimentação em bloquetes,pavimentação em bloquetes em ruas do Bairro da Palha
prestação de serviços de limpeza e higienização do ar condicionado e limpeza do bebedouro,prestação de serviços de limpeza e higienização do ar condicionado e limpeza do bebedouro firmada entre o CISMEV
medicamentos manipulados diversos,medicamentos manipulados diversos para atender aos pacientes do Município acobertados por Mandados Judiciais e outros setores de serviços especializados
locação de coletor de dados Dophin 7600 locação por um mês,
VEÍCULO ZERO KM,UM VEÍCULO ZERO KM
Aquisição de materiais hidráulicos para manutenção em rede de agua,materiais hidráulicos para manutenção em rede de agua
assistência à Saúde pública em nível ambulatorial e hospitalares,
Show Musical do “ Grupo Combinação Perfeita ”,Show Musical do “ Grupo Combinação Perfeita
um instrutor musical com experiência para atendimento da Secretaria de Assistência Social,instrutor musical com experiência para atendimento da Secretaria de Assistência Social
EQUIPE DE APOIO,CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO DE EQUIPE DE APOIO
02,
prestação de serviços advocatícios especializados de consultoria e assessoria jurídica,Prorrogação da vigência e reajuste de preço do contrato principal referente à prestação de serviços advocatícios especializados de consultoria e assessoria jurídica
retirada e arqueamento de feixe de mola,
Transporte Escolar durante o ano letivo de 2014,Transporte Escolar
CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS EM CARRO DE SOM PARA DIVULGAÇÃO DOS ATOS INSTITUCIONAIS E CAMPANHAS DA PREFEITURA MUNICIPAL,
prestação de serviço de sondagem geotécnica à percussão para construção de prédio público,sondagem geotécnica à percussão para construção de prédio público
Construção de mercado municipal,Construção de mercado municipal referente ao Convênio nº 5031000532/2018 CODEMGE
prestação de serviços de assessoria contábil,assessoria contábil
Retífica de Motores Standard Ltda,
RECAPAGEM,
RECAPAGEM,
CARNÊ IPTU,
Valor,
"R $ 0,8100",
Quantidade 9805,
Valor,
obras de pavimentação em paralelepípedo,
VEÍCULOS NOVOS 0 km,AQUISIÇÃO DE VEÍCULOS NOVOS 0 km
01 ÔNIBUS SCANIA K113 CL 4X2 320,
medicamentos,Registro de preço para a aquisição de medicamentos para atendimento de demandas da Secretaria Municipal de Saúde
MEDICAMENTOS,
não haverá alteração de valor,
CAFÉ NEGRIN LTDA- EPP,
PATRULHA AGRÍCOLA MECANIZADA – GRADE NIVELADORA PARA TRATOR AGRÍCOLA E ARADO FIXO,AQUISIÇÃO DE PATRULHA AGRÍCOLA MECANIZADA – GRADE NIVELADORA PARA TRATOR AGRÍCOLA E ARADO FIXO
Prestação de Serviços de estruturas e eventos,estruturas e eventos
VEÍCULO DE MÍDIA LOCAL DO TIPO JORNAL IMPRESSO PARA PUBLICAÇÃO DE MATÉRIAS EXCLUSIVAMENTE INSTITUCIONAIS E DE UTILIDADE PÚBLICA EM,VEÍCULO DE MÍDIA LOCAL DO TIPO JORNAL IMPRESSO
feijão e urucum para as Unidades Escolares da Secretaria Municipal de Educação,feijão e urucum
Contratação de Empresa Especializada em Engenharia,Contratação de Empresa Especializada em Engenharia para realizar obra de pavimentação asfáltica
obra de pavimentação asfáltica na Rua José Macala localizada no povoado de Núcleo João Pinheiro,Contratação de Empresa Especializada em Engenharia para realizar obra de pavimentação asfáltica
cessão de direito de uso de Sistema de Projeção,serviço de cessão de direito de uso de Sistema de Projeção
Atadura,
CONTRATAÇÃO DE EMPRESA PARA PROMOÇÃO E REALIZAÇÃO DO EVENTO ESPORTIVO COPA LAMBARI DE JIU JITSU 2019,
Implantação de Registro de Preços para contratação de empresa ou pessoa física para remendo de pneus e câmaras de ar dos veículos e máquinas da frota municipal,pneus e câmaras de ar dos veículos e máquinas da frota municipal
Convite N.º 003/2018,
plantio de mudas,prestação de serviços para plantio de mudas
PUBLICAÇÃO DE ATOS OFICIAIS,
contratação dos serviços de consultoria e assessoria administrativa para manutenção dos serviços administrativos deste município,consultoria e assessoria administrativa para manutenção dos serviços administrativos deste município
Banda Biquini Cavadão,Banda Biquini Cavadão para apresentação no Carnaval 2015
impressoras multifuncionais,contratação de empresa visando à aquisição de impressoras multifuncionais
barras de ferro chato que serão utilizadas na fabricação e reparo de grades para bueiros para conservação das ruas e avenidas atendendo a Secretaria Municipal de Obras e Trânsito,grades para bueiros para conservação das ruas e avenidas atendendo a Secretaria Municipal de Obras e Trânsito
programação de automonitoramento de efluentes e estudo de autodepuração do corpo receptor localizado no aterro sanitário de Araxá,
SUPRESSÃO DE QUILOMETRAGEM EM ITINERÁRIOS DO TRANSPORTE ESCOLAR,SUPRESSÃO DE QUILOMETRAGEM EM ITINERÁRIOS DO TRANSPORTE ESCOLAR A PARTIR DE 15/07/2019
Plano de Saúde e Acessoria Médica Ltda.- ME,
SERVIÇOS DE CAMINHÃO BASCULANTE,CAMINHÃO BASCULANTE JÁ FOI LICITADO JUNTO AO PROCESSO DE Nº
serviços mecânicos,Contratação de Empresa para a prestação de serviços mecânicos
Exames de Tomografia Computadorizada para pacientes internos do Hospital Municipal Antonio Carneiro Valadares,Exames de Tomografia Computadorizada
CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS MÉDICOS PARA PLANTÕES E SOBREAVISO,
plantas ornamentais para ornamentação e jardinagem de praças e avenidas públicas,plantas ornamentais
Consultoria e Acessória Jurídica,Contratação de Pessoa Física ou Jurídica Para Prestação de Serviços Técnicos Especializados em Consultoria e Acessória Jurídica
Cesta Basicas para Distribuição a pessoas carentes,Cesta Basicas
maestro para fanfarra,
de acordo com o Termo Requisitório,
Locação de imóvel,Locação de imóvel situado à Rua Ludovico Henrique Quirino
VIGILANCIA E PORTARIA PATRIMONIAL- SEGURANÇA DESARMADA,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇO DE VIGILANCIA E PORTARIA PATRIMONIAL- SEGURANÇA DESARMADA
veículos tipo Sedan e tipo Van,Aquisição de veículos tipo Sedan e tipo Van
Credenciamento de Instituições Financeiras para concessão de empréstimos consignados em folha de pagamento para servidores Municipais,Credenciamento de Instituições Financeiras
LOTE 00001 LOTE 00002 LOTE 00003 LOTE 00004,
serviço de impressão das guias do IPTU para o ano de 2018 em atendimento a Secretaria Municipal da Fazenda,impressão das guias do IPTU para o ano de 2018
fornecimento com instalação e manutenção de persianas,
elaboração de projeto e montagem de um padrão elétrico,
Prorrogação do Prazo até 09/11/2019,
serviços técnicos de calceteiro,calceteiro
execução obra pública de reforma da UBS da Penha,reforma da UBS da Penha
LOSARTANA POTÁSSICA 25 mg e SINVASTATINA 20 mg,
Buffet,“ Buffet ” destinados as festividades no município de Mar de Espanha para abertura da Expo/2018
registro de preços para aquisição de cadernos escolares,cadernos escolares
PARQUE INFANTIL,PARQUE INFANTIL PARA A ESCOLA MUNICIPAL DEPUTADO CHRISTOVAM CHIARADIA E PARA O CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL
REGISTRO DE PREÇOS PARA FORNECIMENTO FUTURO E PARCELADO DE SORO REIDRATANTE,
locação de equipamentos,
CONTRATAÇÃO DA BANDA LUCIANO PACCO PARA REALIZAÇÃO DE SHOW MUSICAL,SHOW MUSICAL
recuperação do motor da patrol,prestação de serviço para recuperação do motor da patrol
Prestação de serviços de Arbitragem,Arbitragem
CONTRATACAO DE SERVICOS DE TREINADOR DE FUTEBOL PARA ATENDER A SECRETARIA MUNICIPAL DE ESPORTES ARGIRITA- MG,SERVICOS DE TREINADOR DE FUTEBOL
objeto,
Folder de Relatório Anual e Ficha de Prateleira,
MANGUEIRA SILICONADA,DICLOROISOCIANURATO DE SÓDIO E MANGUEIRA SILICONADA
MANGUEIRA SILICONADA,
para-brisa dianteiro,
MATERIAL DE CONSUMO PARA MANUTENÇÃO DAS ATIVIDADES DO QUARTEL DE POLÍCIA MILITAR,MATERIAL DE CONSUMO PARA MANUTENÇÃO DAS ATIVIDADES DO QUARTEL DE POLÍCIA MILITAR DESTE MUNICÍPIO
PEDREIRO,
materiais de escritório e expediente,materiais de escritório e expediente para suprir as necessidades do Fundo Municipal de Saúde
Aquisição e instalação de sistema de alarme no imóvel onde funciona a Secretaria Municipal de Desenvolvimento,Aquisição e instalação de sistema de alarme no imóvel onde funciona
Locação de som ambiente para atender as necessidades do Fundo Municipal de Assistência Social,Locação de som ambiente
Aparelho de Digitalização de imagens de radiologia convencional de RX – Marca,Aparelho de Digitalização de imagens de radiologia convencional de RX
Aquisição de materiais para recomposição e calçamento,materiais para recomposição e calçamento
reforma e revitalização do Campo de Futebol do Bairro São Bernardo em Santa Bárbara,reforma e revitalização do Campo de Futebol do Bairro São Bernardo
Aquisição de equipamentos de informática para atender as necessidades da Câmara Municipal do Prata-MG,equipamentos de informática
GEOMEMBRANA DE PEAD 2.0 MM,CONTRATAÇÃO DE PESSOA JURÍDICA PARA FORNECIMENTO E INSTALAÇÃO DE GEOMEMBRANA DE PEAD 2.0 MM
fornecimento e instalação de sistema de estabilizadores hidráulicos para patolamento,
PUBLICAÇÕES OFICIAIS EM JORNAIS,
Herbicida Sistemico,Herbicida Sistemico que serão utilizados para manutenção de limpeza de estradas vicinais do município
AQUISIÇÃO DE UMA MOTOCICLETA ZERO KM E QUATRO TELEVISORES DE LED PARA SORTEIO NA CAMPANHA DE ARRECADAÇÃO DO IPTU 2015,UMA MOTOCICLETA ZERO KM
contratação de empresa especializada no ramo de alimentação para fornecimento de refeições prontas tipo marmitex e refeições individuais no quilo de forma parcelada em solicitação da Secretaria Municipal de Administração para atender as diversas Secretarias Municipais e seus departamentos,alimentação para fornecimento de refeições prontas tipo marmitex e refeições individuais no quilo de forma parcelada
toner para impressora utilizada no aparelho de ultrasom,aquisição de toner para impressora utilizada no aparelho de ultrasom no Centro Municipal de Radiologia
prestação de serviços de locução para atuação no palco do Largo Dom João durante o carnaval 2015,locução para atuação no palco do Largo Dom João durante o carnaval 2015
serviços especializados para elaboração de laudo técnico de avaliação de segurança e recuperação de estrutura da Ponte Melo Viana,Contratação de serviços especializados para elaboração de laudo técnico de avaliação de segurança e recuperação de estrutura da Ponte Melo Viana
estrutura de eventos,Serviços de estrutura de eventos
Fornecimento de suprimentos e consumíveis para impressoras,Fornecimento de suprimentos e consumíveis
EQUIPAMENTOS SWITCH REDE DE DADOS E NOBREAK,EQUIPAMENTOS SWITCH REDE DE DADOS E NOBREAK para a Torre de Transmissão de internet situada na Serra do Andrade
manutenção de tratamento do Método Therasuit p/ paciente do SUS,
hospedagem e fornecimento de refeições,hospedagem e fornecimento de refeições na cidade de Montes Claros / MG
prestação de serviços Médicos para atendimento ao Programa de Saúde da Família – PSF,Contratação de Pessoa Jurídica para prestação de serviços Médicos para atendimento ao Programa de Saúde da Família – PSF
moto bomba 22/4HP/220 monofásica localizada no Bairro Recanto dos Pássaros referente ao Departamento de Administração,retirada e instalação de moto bomba 22/4HP/220 monofásica localizada no Bairro Recanto dos Pássaros referente ao Departamento de Administração
serviços de assessoria e consultoria jurídica ao Setor de Compras e Licitação e Secretarias Municipais de Divinésia,assessoria e consultoria jurídica ao Setor de Compras e Licitação e Secretarias Municipais de Divinésia
Aquisição de materiais para construção do emissário de esgoto para atendimento dos bairros Residencial Alto do Lago e Residencial Vitória e reforma e ampliação da sede administrativa do SAAE,materiais para construção do emissário de esgoto para atendimento dos bairros Residencial Alto do Lago e Residencial Vitória e reforma e ampliação da sede administrativa do SAAE
CONSULTORIA E ASSESSORIA TÉCNICA ESPECIALIZADA EM EDUCAÇÃO,CONTRATAÇÃO DE SERVIÇOS DE CONSULTORIA E ASSESSORIA TÉCNICA ESPECIALIZADA EM EDUCAÇÃO
HOSPEDAGEM,HOSPEDAGEM PARA DIVERVOS SETORES DA PREFEITURA DE PIRAPORA
Formação de registro de preço para prestação de serviços de usinagem e fornecimento de concreto betuminosos usinado a quente e emulsão asfáltica,prestação de serviços de usinagem e fornecimento de concreto betuminosos usinado a quente e emulsão asfáltica
SERVIÇOS TÉCNICOS ESPECIALIZADOS PARA PRESTAR CONSULTORIA NA ÁREA DE PRESERVAÇÃO DO PATRIMÔNIO HISTÓRICO CULTURAL,
Creme dental infantil-50 gramas,
Contratação de Serviços Técnicos Profissionais Especializados em Assessoria e Consultoria Junto Aos Órgãos Públicos Localizados em Brasília- DF,
professor de educação física,
LOCAÇÃO DE MÁQUINA ESCAVADEIRA DE ESTEIRA HIDRÁULICA,LOCAÇÃO DE MÁQUINA ESCAVADEIRA DE ESTEIRA HIDRÁULICA para retirada de areia da barragem neste Município
reforma da Escola Municipal de Baixadão,execução de obras de reforma da Escola Municipal de Baixadão
Licitação e Contratação de Serviços de Publicidade,Serviços de Publicidade
materiais e serviços de serralheria,materiais e serviços de serralheria para atender as necessidades das secretarias municipais deste município
Ludy & Miller,
Ludy & Miller,
Vassouras tipo gari para limpeza urbana,
Contratação de empresa especializada para execução de obras extensão e manutenção da rede elétrica nas vias publicas do Município de Carmo do Cajuru,execução de obras extensão e manutenção da rede elétrica nas vias publicas do Município de Carmo do Cajuru
reforma da Unidade Básica de Saúde,reforma da Unidade Básica de Saúde em atendimento ao Departamento Municipal de Saúde
LTCAT e PPRA,prestação de serviços de elaboração de LTCAT e PPRA
REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE RECAPAGEM DE PNEUS E FORNECIMENTO,RECAPAGEM DE PNEUS E FORNECIMENTO DE CÂMARAS DE AR
self service com churrasco,fornecimento de self service com churrasco
conserto e fornecimento de peças para reforma da esteira transportadora,Contratação de empresa especializada para prestação de serviços de conserto e fornecimento de peças para reforma da esteira transportadora
